Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25258596,RS_198,COUNTRY,AGO,YEAR,2006,SEX,BTSX,,,,,,,24.6 [19.7-29.4],24.5758,19.74203,29.41453,,2021-02-09T16:20:34Z,2006,2006-01-01,2006-12-31
25258597,RS_198,COUNTRY,AGO,YEAR,2013,SEX,BTSX,,,,,,,22.4 [17.8-27.0],22.35937,17.75805,26.96462,,2021-02-09T16:20:34Z,2013,2013-01-01,2013-12-31
25258598,RS_198,COUNTRY,AGO,YEAR,2013,SEX,MLE,,,,,,,27.9 [22.1-33.6],27.8577,22.12488,33.59541,,2021-02-09T16:20:34Z,2013,2013-01-01,2013-12-31
25258599,RS_198,COUNTRY,AGO,YEAR,2012,SEX,BTSX,,,,,,,23.2 [18.4-27.9],23.15191,18.36721,27.93661,,2021-02-09T16:20:34Z,2012,2012-01-01,2012-12-31
25258600,RS_198,COUNTRY,AGO,YEAR,2003,SEX,BTSX,,,,,,,25.3 [20.4-30.1],25.25732,20.43983,30.07481,,2021-02-09T16:20:34Z,2003,2003-01-01,2003-12-31
25258601,RS_198,COUNTRY,AGO,YEAR,2007,SEX,MLE,,,,,,,30.2 [24.2-36.2],30.19883,24.1948,36.20286,,2021-02-09T16:20:34Z,2007,2007-01-01,2007-12-31
25258602,RS_198,COUNTRY,AGO,YEAR,2000,SEX,BTSX,,,,,,,25.1 [20.2-29.9],25.06686,20.24437,29.88936,,2021-02-09T16:20:34Z,2000,2000-01-01,2000-12-31
25258603,RS_198,COUNTRY,AGO,YEAR,2004,SEX,MLE,,,,,,,29.8 [24.2-35.5],29.83948,24.20087,35.48444,,2021-02-09T16:20:34Z,2004,2004-01-01,2004-12-31
25258604,RS_198,COUNTRY,AGO,YEAR,2007,SEX,FMLE,,,,,,,20.8 [16.7-25.0],20.8234,16.68337,24.96344,,2021-02-09T16:20:34Z,2007,2007-01-01,2007-12-31
25258605,RS_198,COUNTRY,AGO,YEAR,2007,SEX,BTSX,,,,,,,25.5 [20.4-30.5],25.46701,20.40375,30.53028,,2021-02-09T16:20:34Z,2007,2007-01-01,2007-12-31
25258606,RS_198,COUNTRY,AGO,YEAR,2018,SEX,FMLE,,,,,,,17.8 [13.7-22.0],17.81335,13.65672,21.96483,,2021-02-09T16:20:34Z,2018,2018-01-01,2018-12-31
25258607,RS_198,COUNTRY,AGO,YEAR,2008,SEX,BTSX,,,,,,,25.0 [20.0-30.0],24.96404,19.95509,29.97298,,2021-02-09T16:20:34Z,2008,2008-01-01,2008-12-31
25258608,RS_198,COUNTRY,AGO,YEAR,2017,SEX,BTSX,,,,,,,25.5 [19.7-31.2],25.47491,19.70756,31.2368,,2021-02-09T16:20:34Z,2017,2017-01-01,2017-12-31
25258609,RS_198,COUNTRY,AGO,YEAR,2008,SEX,FMLE,,,,,,,20.7 [16.6-24.9],20.71734,16.56047,24.8742,,2021-02-09T16:20:34Z,2008,2008-01-01,2008-12-31
25258610,RS_198,COUNTRY,AGO,YEAR,2009,SEX,BTSX,,,,,,,27.3 [21.9-32.8],27.33922,21.87138,32.80214,,2021-02-09T16:20:34Z,2009,2009-01-01,2009-12-31
25258611,RS_198,COUNTRY,AGO,YEAR,2003,SEX,FMLE,,,,,,,22.2 [18.0-26.5],22.22854,17.98875,26.46832,,2021-02-09T16:20:34Z,2003,2003-01-01,2003-12-31
25258612,RS_198,COUNTRY,AGO,YEAR,2009,SEX,MLE,,,,,,,33.7 [27.0-40.4],33.71224,26.96979,40.44862,,2021-02-09T16:20:34Z,2009,2009-01-01,2009-12-31
25258613,RS_198,COUNTRY,AGO,YEAR,2004,SEX,FMLE,,,,,,,22.0 [17.8-26.1],21.9593,17.80977,26.11351,,2021-02-09T16:20:34Z,2004,2004-01-01,2004-12-31
25258614,RS_198,COUNTRY,AGO,YEAR,2011,SEX,MLE,,,,,,,32.1 [25.5-38.7],32.13295,25.54279,38.72311,,2021-02-09T16:20:35Z,2011,2011-01-01,2011-12-31
25258615,RS_198,COUNTRY,AGO,YEAR,2014,SEX,BTSX,,,,,,,23.2 [18.4-28.0],23.18967,18.38436,27.99883,,2021-02-09T16:20:35Z,2014,2014-01-01,2014-12-31
25258616,RS_198,COUNTRY,AGO,YEAR,2015,SEX,BTSX,,,,,,,23.6 [18.6-28.7],23.61997,18.58297,28.65324,,2021-02-09T16:20:35Z,2015,2015-01-01,2015-12-31
25258617,RS_198,COUNTRY,AGO,YEAR,2016,SEX,FMLE,,,,,,,17.9 [14.0-21.8],17.88613,13.95734,21.81229,,2021-02-09T16:20:35Z,2016,2016-01-01,2016-12-31
25259458,RS_198,COUNTRY,ALB,YEAR,2003,SEX,FMLE,,,,,,,6.4 [6.0-6.9],6.43392,5.95525,6.9126,,2021-02-09T16:20:58Z,2003,2003-01-01,2003-12-31
25259459,RS_198,COUNTRY,ALB,YEAR,2009,SEX,MLE,,,,,,,21.7 [20.2-23.3],21.74332,20.16846,23.31819,,2021-02-09T16:20:58Z,2009,2009-01-01,2009-12-31
25259460,RS_198,COUNTRY,ALB,YEAR,2010,SEX,MLE,,,,,,,20.9 [19.4-22.5],20.92304,19.36011,22.48596,,2021-02-09T16:20:58Z,2010,2010-01-01,2010-12-31
